Gss year for this respondent                       ,Respondent id number,Respondents sex,"Region of residence, age 16",Total family income,General happiness,Happiness of marriage
1973,1,Male,Foreign,$10000 - 14999,Not too happy,Very happy
1973,2,Female,E. nor. central,$7000 to 7999,Very happy,Very happy
1973,3,Female,E. nor. central,$10000 - 14999,Pretty happy,Very happy
1973,4,Male,E. nor. central,$10000 - 14999,Pretty happy,Very happy
1973,5,Female,E. nor. central,$10000 - 14999,Pretty happy,Pretty happy
1973,6,Female,Middle atlantic,$10000 - 14999,Pretty happy,Not applicable
1973,7,Female,Middle atlantic,$4000 to 4999,Very happy,Very happy
1973,8,Male,Middle atlantic,$7000 to 7999,Pretty happy,Not applicable
1973,9,Female,Middle atlantic,$1000 to 2999,Pretty happy,Not applicable
1973,10,Male,Middle atlantic,$15000 - 19999,Very happy,Pretty happy
1973,11,Female,E. nor. central,$5000 to 5999,Very happy,Not applicable
1973,12,Male,E. nor. central,$20000 - 24999,Pretty happy,Very happy
1973,13,Male,E. nor. central,$3000 to 3999,Pretty happy,Pretty happy
1973,14,Female,E. nor. central,$15000 - 19999,Pretty happy,Pretty happy
1973,15,Female,E. nor. central,$10000 - 14999,Pretty happy,Pretty happy
1973,16,Male,E. nor. central,$5000 to 5999,Pretty happy,Very happy
1973,17,Female,E. nor. central,$15000 - 19999,Not too happy,Pretty happy
1973,18,Female,E. nor. central,$4000 to 4999,Not too happy,Not applicable
1973,19,Female,E. nor. central,$3000 to 3999,Pretty happy,Not applicable
1973,20,Male,W. sou. central,Don't know,Very happy,Very happy
1973,21,Female,W. sou. central,$3000 to 3999,Not too happy,Not applicable
1973,22,Female,Mountain,Lt $1000,Very happy,Pretty happy
1973,23,Female,W. sou. central,$15000 - 19999,Pretty happy,Pretty happy
1973,24,Male,W. sou. central,$3000 to 3999,Pretty happy,Not applicable
1973,25,Male,E. nor. central,$5000 to 5999,Pretty happy,Pretty happy
1973,26,Female,E. nor. central,$8000 to 9999,Very happy,Very happy
1973,27,Female,South atlantic,Don't know,Very happy,Very happy
1973,28,Female,Mountain,$4000 to 4999,Not too happy,Not too happy
1973,29,Male,E. nor. central,$8000 to 9999,Very happy,Very happy
1973,30,Male,E. nor. central,$15000 - 19999,Pretty happy,Not applicable
1973,31,Female,E. nor. central,$3000 to 3999,Not too happy,Not applicable
1973,32,Male,E. nor. central,$4000 to 4999,Very happy,Very happy
1973,33,Female,South atlantic,$8000 to 9999,Very happy,Very happy
1973,34,Male,E. nor. central,$3000 to 3999,Very happy,Very happy
1973,35,Male,Foreign,$25000 or more,Very happy,Very happy
1973,36,Male,Middle atlantic,$25000 or more,Pretty happy,Pretty happy
1973,37,Female,Middle atlantic,$20000 - 24999,Not too happy,Pretty happy
1973,38,Female,Middle atlantic,$25000 or more,Pretty happy,Very happy
1973,39,Female,Middle atlantic,$25000 or more,Pretty happy,Pretty happy
