customer_id,contract_type_id,payment_type_id,internet_service_type_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,monthly_charges,total_charges,churn,internet_service_type,payment_type,contract_type,contract_type_id,paperless_billing,payment_type_id,monthly_charges,total_charges,signup_date,phone_service,multiple_lines,internet_service_type_id,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,churn_month
0002-ORFBO,2,2,1,Female,0,Yes,Yes,9,Yes,No,No,Yes,No,Yes,Yes,No,Yes,65.6,593.3,No,DSL,"Mailed check","One year",2,Yes,2,65.6,593.3,"2021-04-21 18:07:34",Yes,No,1,No,Yes,No,Yes,Yes,No,NULL
0003-MKNFE,1,2,1,Male,0,No,No,9,Yes,Yes,No,No,No,No,No,Yes,No,59.9,542.4,No,DSL,"Mailed check",Month-to-month,1,No,2,59.9,542.4,"2021-04-21 18:07:34",Yes,Yes,1,No,No,No,No,No,Yes,NULL
0004-TLHLJ,1,1,2,Male,0,No,No,4,Yes,No,No,No,Yes,No,No,No,Yes,73.9,280.85,Yes,"Fiber optic","Electronic check",Month-to-month,1,Yes,1,73.9,280.85,"2021-09-21 18:07:34",Yes,No,2,No,No,Yes,No,No,No,2022-01-31
0011-IGKFF,1,1,2,Male,1,Yes,No,13,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,98,1237.85,Yes,"Fiber optic","Electronic check",Month-to-month,1,Yes,1,98,1237.85,"2020-12-21 18:07:34",Yes,No,2,No,Yes,Yes,No,Yes,Yes,2022-01-31
0013-EXCHZ,1,2,2,Female,1,Yes,No,3,Yes,No,No,No,No,Yes,Yes,No,Yes,83.9,267.4,Yes,"Fiber optic","Mailed check",Month-to-month,1,Yes,2,83.9,267.4,"2021-10-21 18:07:34",Yes,No,2,No,No,No,Yes,Yes,No,2022-01-31
0013-MHZWF,1,4,1,Female,0,No,Yes,9,Yes,No,No,No,No,Yes,Yes,Yes,Yes,69.4,571.45,No,DSL,"Credit card (automatic)",Month-to-month,1,Yes,4,69.4,571.45,"2021-04-21 18:07:34",Yes,No,1,No,No,No,Yes,Yes,Yes,NULL
0013-SMEOE,3,3,2,Female,1,Yes,No,71,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,109.7,7904.25,No,"Fiber optic","Bank transfer (automatic)","Two year",3,Yes,3,109.7,7904.25,"2016-02-21 18:07:34",Yes,No,2,Yes,Yes,Yes,Yes,Yes,Yes,NULL
0014-BMAQU,3,4,2,Male,0,Yes,No,63,Yes,Yes,Yes,No,No,Yes,No,No,Yes,84.65,5377.8,No,"Fiber optic","Credit card (automatic)","Two year",3,Yes,4,84.65,5377.8,"2016-10-21 18:07:34",Yes,Yes,2,Yes,No,No,Yes,No,No,NULL
0015-UOCOJ,1,1,1,Female,1,No,No,7,Yes,No,Yes,No,No,No,No,No,Yes,48.2,340.35,No,DSL,"Electronic check",Month-to-month,1,Yes,1,48.2,340.35,"2021-06-21 18:07:34",Yes,No,1,Yes,No,No,No,No,No,NULL
0016-QLJIS,3,2,1,Female,0,Yes,Yes,65,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,90.45,5957.9,No,DSL,"Mailed check","Two year",3,Yes,2,90.45,5957.9,"2016-08-21 18:07:34",Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes,NULL
0017-DINOC,3,4,1,Male,0,No,No,54,No,"No phone service",Yes,No,No,Yes,Yes,No,No,45.2,2460.55,No,DSL,"Credit card (automatic)","Two year",3,No,4,45.2,2460.55,"2017-07-21 18:07:34",No,"No phone service",1,Yes,No,No,Yes,Yes,No,NULL
0017-IUDMW,3,4,2,Female,0,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,116.8,8456.75,No,"Fiber optic","Credit card (automatic)","Two year",3,Yes,4,116.8,8456.75,"2016-01-21 18:07:34",Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes,NULL
0018-NYROU,1,1,2,Female,0,Yes,No,5,Yes,No,No,No,No,No,No,No,Yes,68.95,351.5,No,"Fiber optic","Electronic check",Month-to-month,1,Yes,1,68.95,351.5,"2021-08-21 18:07:34",Yes,No,2,No,No,No,No,No,No,NULL
0019-EFAEP,3,3,2,Female,0,No,No,72,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,101.3,7261.25,No,"Fiber optic","Bank transfer (automatic)","Two year",3,Yes,3,101.3,7261.25,"2016-01-21 18:07:34",Yes,Yes,2,Yes,Yes,Yes,No,Yes,No,NULL
0019-GFNTW,3,3,1,Female,0,No,No,56,No,"No phone service",Yes,Yes,Yes,Yes,No,No,No,45.05,2560.1,No,DSL,"Bank transfer (automatic)","Two year",3,No,3,45.05,2560.1,"2017-05-21 18:07:34",No,"No phone service",1,Yes,Yes,Yes,Yes,No,No,NULL
0020-INWCK,3,4,2,Female,0,Yes,Yes,71,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,95.75,6849.4,No,"Fiber optic","Credit card (automatic)","Two year",3,Yes,4,95.75,6849.4,"2016-02-21 18:07:34",Yes,Yes,2,No,Yes,Yes,No,No,Yes,NULL
0020-JDNXP,2,2,1,Female,0,Yes,Yes,34,No,"No phone service",Yes,No,Yes,Yes,Yes,Yes,No,61.25,1993.2,No,DSL,"Mailed check","One year",2,No,2,61.25,1993.2,"2019-03-21 18:07:34",No,"No phone service",1,Yes,No,Yes,Yes,Yes,Yes,NULL
0021-IKXGC,1,1,2,Female,1,No,No,1,Yes,Yes,No,No,No,No,No,No,Yes,72.1,72.1,No,"Fiber optic","Electronic check",Month-to-month,1,Yes,1,72.1,72.1,"2021-12-21 18:07:34",Yes,Yes,2,No,No,No,No,No,No,NULL
0022-TCJCI,2,4,1,Male,1,No,No,45,Yes,No,Yes,No,Yes,No,No,Yes,No,62.7,2791.5,Yes,DSL,"Credit card (automatic)","One year",2,No,4,62.7,2791.5,"2018-04-21 18:07:34",Yes,No,1,Yes,No,Yes,No,No,Yes,2022-01-31
0023-HGHWL,1,1,1,Male,1,No,No,1,No,"No phone service",No,No,No,No,No,No,Yes,25.1,25.1,Yes,DSL,"Electronic check",Month-to-month,1,Yes,1,25.1,25.1,"2021-12-21 18:07:34",No,"No phone service",1,No,No,No,No,No,No,2022-01-31
0023-UYUPN,2,1,3,Female,1,Yes,No,50,Yes,Yes,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",No,25.2,1306.3,No,None,"Electronic check","One year",2,No,1,25.2,1306.3,"2017-11-21 18:07:34",Yes,Yes,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",NULL
0023-XUOPT,1,1,2,Female,0,Yes,No,13,Yes,Yes,No,Yes,Yes,No,Yes,No,No,94.1,1215.6,Yes,"Fiber optic","Electronic check",Month-to-month,1,No,1,94.1,1215.6,"2020-12-21 18:07:34",Yes,Yes,2,No,Yes,Yes,No,Yes,No,2022-01-31
0027-KWYKW,1,1,2,Female,0,Yes,Yes,23,Yes,Yes,No,No,No,No,Yes,No,Yes,83.75,1849.95,No,"Fiber optic","Electronic check",Month-to-month,1,Yes,1,83.75,1849.95,"2020-02-21 18:07:34",Yes,Yes,2,No,No,No,No,Yes,No,NULL
0030-FNXPP,1,2,3,Female,0,No,No,3,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",No,19.85,57.2,No,None,"Mailed check",Month-to-month,1,No,2,19.85,57.2,"2021-10-21 18:07:34",Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",NULL
0031-PVLZI,1,2,3,Female,0,Yes,Yes,4,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",No,20.35,76.35,Yes,None,"Mailed check",Month-to-month,1,No,2,20.35,76.35,"2021-09-21 18:07:34",Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",2022-01-31
0032-PGELS,1,3,1,Female,0,Yes,Yes,1,No,"No phone service",Yes,No,No,No,No,No,No,30.5,30.5,Yes,DSL,"Bank transfer (automatic)",Month-to-month,1,No,3,30.5,30.5,"2021-12-21 18:07:34",No,"No phone service",1,Yes,No,No,No,No,No,2022-01-31
0036-IHMOT,2,3,2,Female,0,Yes,Yes,55,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,103.7,5656.75,No,"Fiber optic","Bank transfer (automatic)","One year",2,Yes,3,103.7,5656.75,"2017-06-21 18:07:34",Yes,No,2,No,Yes,Yes,Yes,Yes,Yes,NULL
0040-HALCW,3,4,3,Male,0,Yes,Yes,54,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",No,20.4,1090.6,No,None,"Credit card (automatic)","Two year",3,No,4,20.4,1090.6,"2017-07-21 18:07:34",Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",NULL
0042-JVWOJ,2,3,3,Male,0,No,No,26,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Yes,19.6,471.85,No,None,"Bank transfer (automatic)","One year",2,Yes,3,19.6,471.85,"2019-11-21 18:07:34",Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",NULL
0042-RLHYP,3,3,3,Female,0,Yes,Yes,69,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",No,19.7,1396.9,No,None,"Bank transfer (automatic)","Two year",3,No,3,19.7,1396.9,"2016-04-21 18:07:34",Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",NULL
0048-LUMLS,2,4,2,Male,0,Yes,Yes,37,Yes,No,No,No,No,No,Yes,Yes,No,91.2,3247.55,No,"Fiber optic","Credit card (automatic)","One year",2,No,4,91.2,3247.55,"2018-12-21 18:07:34",Yes,No,2,No,No,No,No,Yes,Yes,NULL
0048-PIHNL,2,3,3,Female,0,Yes,No,49,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",No,20.45,900.9,No,None,"Bank transfer (automatic)","One year",2,No,3,20.45,900.9,"2017-12-21 18:07:34",Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",NULL
0052-DCKON,2,3,2,Male,0,Yes,No,66,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,115.8,7942.15,No,"Fiber optic","Bank transfer (automatic)","One year",2,No,3,115.8,7942.15,"2016-07-21 18:07:34",Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes,NULL
0052-YNYOT,2,1,3,Female,0,No,No,67,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",No,20.55,1343.4,No,None,"Electronic check","One year",2,No,1,20.55,1343.4,"2016-06-21 18:07:34",Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",NULL
0056-EPFBG,3,4,1,Male,0,Yes,Yes,20,No,"No phone service",Yes,No,Yes,Yes,No,No,Yes,39.4,825.4,No,DSL,"Credit card (automatic)","Two year",3,Yes,4,39.4,825.4,"2020-05-21 18:07:34",No,"No phone service",1,Yes,No,Yes,Yes,No,No,NULL
0057-QBUQH,3,1,3,Female,0,No,Yes,43,Yes,Yes,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Yes,25.1,1070.15,No,None,"Electronic check","Two year",3,Yes,1,25.1,1070.15,"2018-06-21 18:07:34",Yes,Yes,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",NULL
0058-EVZWM,1,3,2,Female,0,Yes,No,55,Yes,Yes,Yes,No,No,No,Yes,No,Yes,89.8,4959.6,No,"Fiber optic","Bank transfer (automatic)",Month-to-month,1,Yes,3,89.8,4959.6,"2017-06-21 18:07:34",Yes,Yes,2,Yes,No,No,No,Yes,No,NULL
0060-FUALY,1,1,2,Female,0,Yes,No,59,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,94.75,5597.65,No,"Fiber optic","Electronic check",Month-to-month,1,Yes,1,94.75,5597.65,"2017-02-21 18:07:34",Yes,Yes,2,Yes,Yes,No,No,Yes,No,NULL
0064-SUDOG,3,3,3,Female,0,Yes,Yes,12,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",No,20.3,224.5,No,None,"Bank transfer (automatic)","Two year",3,No,3,20.3,224.5,"2021-01-21 18:07:34",Yes,No,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",NULL
0064-YIJGF,1,3,2,Male,0,Yes,Yes,27,Yes,Yes,No,No,No,No,No,No,Yes,75.75,1929,No,"Fiber optic","Bank transfer (automatic)",Month-to-month,1,Yes,3,75.75,1929,"2019-10-21 18:07:34",Yes,Yes,2,No,No,No,No,No,No,NULL
0067-DKWBL,1,1,1,Male,1,No,No,2,Yes,No,Yes,No,No,No,No,No,Yes,49.25,91.1,Yes,DSL,"Electronic check",Month-to-month,1,Yes,1,49.25,91.1,"2021-11-21 18:07:34",Yes,No,1,Yes,No,No,No,No,No,2022-01-31
0068-FIGTF,2,2,1,Female,0,No,No,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,78.2,2078.95,No,DSL,"Mailed check","One year",2,No,2,78.2,2078.95,"2019-10-21 18:07:34",Yes,No,1,No,Yes,Yes,Yes,Yes,Yes,NULL
0071-NDAFP,3,4,3,Male,0,Yes,Yes,25,Yes,Yes,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",No,25.5,630.6,No,None,"Credit card (automatic)","Two year",3,No,4,25.5,630.6,"2019-12-21 18:07:34",Yes,Yes,3,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",NULL
0074-HDKDG,2,3,1,Male,0,Yes,Yes,25,Yes,No,Yes,Yes,Yes,No,No,No,Yes,61.6,1611,No,DSL,"Bank transfer (automatic)","One year",2,Yes,3,61.6,1611,"2019-12-21 18:07:34",Yes,No,1,Yes,Yes,Yes,No,No,No,NULL
0076-LVEPS,1,2,1,Male,0,No,Yes,29,No,"No phone service",Yes,Yes,Yes,Yes,No,No,Yes,45,1242.45,No,DSL,"Mailed check",Month-to-month,1,Yes,2,45,1242.45,"2019-08-21 18:07:34",No,"No phone service",1,Yes,Yes,Yes,Yes,No,No,NULL
0078-XZMHT,3,3,1,Male,0,Yes,No,72,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,85.15,6316.2,No,DSL,"Bank transfer (automatic)","Two year",3,Yes,3,85.15,6316.2,"2016-01-21 18:07:34",Yes,Yes,1,No,Yes,Yes,Yes,Yes,Yes,NULL
0080-EMYVY,2,4,1,Female,0,No,No,14,Yes,No,No,Yes,No,No,No,No,No,51.45,727.85,No,DSL,"Credit card (automatic)","One year",2,No,4,51.45,727.85,"2020-11-21 18:07:34",Yes,No,1,No,Yes,No,No,No,No,NULL
0080-OROZO,2,1,2,Female,0,No,No,35,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,99.25,3532,No,"Fiber optic","Electronic check","One year",2,Yes,1,99.25,3532,"2019-02-21 18:07:34",Yes,No,2,No,No,Yes,Yes,Yes,Yes,NULL
